"shots_detailID","TableIndex","MatchID","GameWeek","Player","ForTeam","AgainstTeam","RelativeStrength","Time","ShotOutcome","AssistedBy","ShotType","ShotPosition","ShotSide","Close"
"2289","21","58986","10","Pierre-Emerick Aubameyang","Arsenal","Wolverhampton Wanderers","1","45+7","Miss","N/A","header","the box","the centre","not close"
"2290","22","58986","10","Adama Traore","Wolverhampton Wanderers","Arsenal","-1","45+4","Miss","Fabio Silva","right footed shot","the box","the right","close"
"2291","23","58986","10","David Luiz","Arsenal","Wolverhampton Wanderers","1","45","Miss","N/A","right footed shot","outside the box","N/A","not close"
"2292","0","58987","10","Pascal Groß","Brighton and Hove Albion","Liverpool","-3","90+3","Goal","N/A","right footed shot","penalty","N/A","close"
"2293","1","58987","10","Diogo Jota","Liverpool","Brighton and Hove Albion","3","60","Goal","Mohamed Salah","right footed shot","the box","the centre","close"
"2294","2","58987","10","Alireza Jahanbakhsh","Brighton and Hove Albion","Liverpool","-3","90+7","Blocked","Danny Welbeck","left footed shot","the box","the left","not close"
"2295","3","58987","10","Roberto Firmino","Liverpool","Brighton and Hove Albion","3","69","Blocked","N/A","right footed shot","outside the box","N/A","not close"
"2296","4","58987","10","Aaron Connolly","Brighton and Hove Albion","Liverpool","-3","26","Blocked","Ben White","right footed shot","the box","the right","not close"
"2297","5","58987","10","Roberto Firmino","Liverpool","Brighton and Hove Albion","3","7","Blocked","Andrew Robertson","right footed shot","the box","the left","not close"
"2298","6","58987","10","Diogo Jota","Liverpool","Brighton and Hove Albion","3","7","Blocked","N/A","right footed shot","outside the box","N/A","not close"
